Date,SOXL,SOXL,SOXS,SOXS,SPXL,SPXL
11/6/2017,10.873333,10276500,1762.800049,9473,41.630001,1080100
11/7/2017,10.843333,8470500,1767.599976,5937,41.599998,1336700
11/8/2017,10.952667,5565000,1748.400024,3802,41.810001,942900
11/9/2017,10.286,17956500,1852.800049,12923,41.34,2350100
11/10/2017,10.481333,6489000,1821.599976,3987,41.259998,1739200
11/13/2017,10.566667,5070000,1804.800049,3428,41.369999,1050900
11/14/2017,10.537333,6117000,1810.800049,5140,41.099998,1422400
11/15/2017,10.258,8970000,1857.599976,5107,40.459999,1777700
11/16/2017,10.72,7363500,1772.400024,5575,41.459999,2046300
11/17/2017,10.578,6295500,1796.400024,4693,41.130001,1323700
11/20/2017,10.951333,6471000,1732.800049,3515,41.279999,910200
11/21/2017,11.344,9874500,1671.599976,5982,42.099998,1278100
11/22/2017,11.122667,6756000,1702.800049,5400,42.009998,847600
11/24/2017,11.42,6757500,1659.599976,3498,42.25,607400
11/27/2017,10.99,10698000,1718.400024,6518,42.209999,1201000
11/28/2017,10.98,9736500,1722,5031,43.470001,1407300
11/29/2017,9.536667,36519000,1946.400024,22431,43.389999,2649400
11/30/2017,9.713333,14869500,1911.599976,6927,44.48,3116000
12/1/2017,9.380667,19072500,1976.400024,15455,44.25,4092700
12/4/2017,8.7,23742000,2120.399902,15213,44.09,2755000
12/5/2017,8.711333,16374000,2119.199951,12983,43.599998,2137500
12/6/2017,8.799333,10795500,2095.199951,8174,43.59,1445600
12/7/2017,9.056667,9966000,2034,7983,44.009998,1269700
12/8/2017,8.916667,9871500,2066.399902,5110,44.73,1424900
12/11/2017,9.072,5599500,2030.400024,2580,45.139999,1095200
12/12/2017,8.8,5977500,2089.199951,3336,45.389999,1530100
12/13/2017,8.798667,4125000,2092.800049,1631,43.740002,6500900
12/14/2017,8.778667,5094000,2095.199951,2528,43.209999,1298200
12/15/2017,9.169333,10255500,2000.400024,6576,44.27,2130200
12/18/2017,9.787333,15397500,1867.199951,6579,45.139999,1631000
12/19/2017,9.744,8127000,1873.199951,3198,44.52,3155000
12/20/2017,9.948,8721000,1837.199951,4263,44.419998,1792000
12/21/2017,9.626,6909000,1894.800049,2364,44.650002,2038400
12/22/2017,9.600667,3942000,1900.800049,3603,44.599998,1343600
12/26/2017,9.323333,4524000,1953.599976,4097,44.439999,805800
12/27/2017,9.417333,2980500,1933.199951,2196,44.52,1119500
12/28/2017,9.477333,3168000,1922.400024,1253,44.740002,2214100
12/29/2017,9.193333,4132500,1980,3615,44.330002,2493300
1/2/2018,9.951333,9237000,1818,4718,45.189999,1826300
1/3/2018,10.446667,9871500,1725.599976,4725,45.990002,2150800
1/4/2018,10.63,8502000,1695.599976,5488,46.57,2632000
1/5/2018,10.822,7713000,1665.599976,4273,47.450001,1928900
1/8/2018,11.065333,6538500,1627.199951,3301,47.740002,1992500
1/9/2018,10.747333,9009000,1674,6528,48.07,1604800
1/10/2018,10.35,13269000,1734,11169,47.790001,2428300
1/11/2018,10.533333,5524500,1702.800049,3485,48.869999,1926400
1/12/2018,10.696667,5019000,1676.400024,3594,49.82,2582100
1/16/2018,10.811333,9804000,1658.400024,11278,49.290001,5166500
1/17/2018,11.741333,11496000,1515.599976,12746,50.66,2519300
1/18/2018,11.908667,9171000,1495.199951,10607,50.459999,2063900
1/19/2018,11.940667,9315000,1490.400024,6240,51.09,2115700
1/22/2018,12.217333,5620500,1458,4221,52.349998,2418800
1/23/2018,12.494667,6738000,1425.599976,4541,52.700001,2437700
1/24/2018,11.634667,18628500,1520.400024,12345,52.619999,3648000
1/25/2018,11.029333,13167000,1600.800049,13985,52.689999,3116800
1/26/2018,12.075333,12733500,1448.400024,10668,54.48,2219800
1/29/2018,12.036667,9184500,1453.199951,8624,53.41,3100200
1/30/2018,11.304,11923500,1538.400024,16146,51.709999,5671000
1/31/2018,11.594,6891000,1502.400024,7397,51.84,4027500
2/1/2018,11.422667,6895500,1525.199951,10558,51.630001,4293000
2/2/2018,10.468667,13788000,1648.800049,14460,48.27,7028200
2/5/2018,9.068,16929000,1879.199951,22520,42.34,13353200
2/6/2018,10,20614500,1672.800049,17540,44.689999,13332300
2/7/2018,9.334667,12523500,1784.400024,13678,43.919998,9536600
2/8/2018,8.153333,17155500,2010,26471,39.040001,13277100
2/9/2018,8.896,20676000,1833.599976,26044,40.830002,15481900
2/12/2018,9.365333,14100000,1728,8627,42.43,9384500
2/13/2018,9.351333,7440000,1730.400024,5897,42.810001,6607500
2/14/2018,9.979333,11127000,1615.199951,7317,44.52,7033200
2/15/2018,10.348,12339000,1555.199951,11179,46.189999,7578600
2/16/2018,10.230667,7677000,1574.400024,13259,46.200001,7867600
2/20/2018,10.760667,11586000,1489.199951,19513,45.369999,6606200
2/21/2018,10.396,9901500,1542,8301,44.619999,8045400
2/22/2018,10.318667,5809500,1554,15576,44.84,7927800
2/23/2018,10.988667,8178000,1453.199951,9032,46.98,5206600
2/26/2018,11.688,8653500,1358.400024,9535,48.619999,5547900
2/27/2018,11.58,10837500,1372.800049,15353,46.779999,6994400
2/28/2018,11.261333,10170000,1407.599976,15943,45.23,7746500
3/1/2018,10.718,14397000,1477.199951,18689,43.380001,10796400
3/2/2018,11.272,9610500,1400.400024,13165,44.060001,8644000
3/5/2018,11.579333,8790000,1362,8891,45.529999,8260300
3/6/2018,12.102667,12933000,1300.800049,18241,45.889999,5180900
3/7/2018,12.198,9990000,1290,13770,45.860001,7490100
3/8/2018,12.25,8625000,1286.400024,8298,46.509998,4788600
3/9/2018,13.013333,12120000,1203.599976,16956,48.889999,5875100
3/12/2018,13.418667,12079500,1168.800049,14753,48.720001,4652600
3/13/2018,12.792,22048500,1221.599976,23017,47.75,7375300
3/14/2018,12.786667,13102500,1221.599976,20209,47.02,4263700
3/15/2018,12.749333,7572000,1225.199951,9280,46.849998,4193700
3/16/2018,12.739333,4693500,1227.599976,4210,46.959999,4315400
3/19/2018,12.001333,17712000,1298.400024,27660,45.049999,6423900
3/20/2018,12.282,8823000,1264.800049,10933,45.27,3142600
3/21/2018,12.365333,9939000,1256.400024,8575,45.040001,4552800
3/22/2018,11.35,15714000,1359.599976,20914,41.689999,10022300
3/23/2018,10.214667,16557000,1495.199951,29037,38.93,10342200
3/26/2018,11.499333,18847500,1309.199951,18963,42.189999,9041700
3/27/2018,10.217333,23146500,1456.800049,23877,39.919998,7820200
